time,High Price,Low Price,Open Price,Volume From,Volume To,Close Price,conversionType,conversionSymbol,Close_Lag1,7-day MA,Volatility,VWAP,Pct_Change
2024-11-26,95007.52,90730.54,93019.38,77087.79,7150066318.55,91903.89,direct,Unknown,93019.38,96076.2242857143,4.713936454031917,25752.831366261475,-1.1992017147394507
2024-11-27,97373.56,91757.22,91903.89,47765.92,4533983270.73,95957.51,direct,Unknown,91903.89,96301.59428571428,6.120869834548166,15903.786405011584,4.4107164560716505
2024-11-28,96672.28,94677.17,95957.51,24214.5,2311939499.68,95670.41,direct,Unknown,95957.51,95906.47428571428,2.1072767595398134,8054.9809329570435,-0.29919492492040956
2024-11-29,98735.69,95391.39,95670.41,39884.8,3883366949.57,97510.92,direct,Unknown,95670.41,95692.19285714286,3.5058719660128683,13315.709713994747,1.9238027724559625
2024-11-30,97514.26,96137.13,97510.92,12565.01,1215861238.63,96473.51,direct,Unknown,97510.92,95507.68857142857,1.4324642310416278,4190.8200179646765,-1.063891100606995
2024-12-01,97896.77,95752.22,96473.51,17120.23,1659820134.72,97276.47,direct,Unknown,96473.51,95401.72714285714,2.239686975403811,5705.31068239954,0.8323113774962643
2024-12-02,98219.29,94419.96,97276.47,52454.21,5040855658.82,95859.75,direct,Unknown,97276.47,95807.49428571427,4.023863174693134,17472.6971629711,-1.4563850846972537
2024-12-03,96304.02,93590.91,95859.75,52781.2,5033493735.21,95928.37,direct,Unknown,95859.75,96382.42000000001,2.89890332298297,17610.508783608617,0.07158374604565587
2024-12-04,99226.36,94663.42,95928.37,59092.55,5727735676.06,98751.87,direct,Unknown,95928.37,96781.6142857143,4.820172353798333,19572.523856600725,2.9433419956995
2024-12-05,104028.51,98072.53,98751.87,84063.31,8546318671.39,100794.81,direct,Unknown,98751.87,97513.67142857143,6.073035945947347,28215.37063446066,2.068760824478577
