time,High Price,Low Price,open,volumefrom,volumeto,Close Price,conversionType,conversionSymbol,7-day MA
2024-10-05,62377.77,61689.84,62094.06,10082.43,625465514.89,62059.19,direct,,62179.75
2024-10-06,62976.08,61815.61,62059.19,13418.93,838451338.95,62821.76,direct,,61781.147142857146
2024-10-07,64458.38,62129.23,62821.76,41062.64,2602786910.05,62209.84,direct,,61623.29428571428
2024-10-08,63185.68,61832.71,62209.84,33506.88,2090901005.09,62129.17,direct,,61814.59571428572
2024-10-09,62513.84,60252.65,62129.17,37528.72,2311387233.46,60585.22,direct,,61806.51285714285
2024-10-10,61251.26,58869.24,60585.22,42405.42,2553922274.06,60280.38,direct,,61739.94571428571
2024-10-11,63418.56,60039.18,60280.38,36112.65,2236421715.94,62517.42,direct,,61800.42571428571
2024-10-12,63469.71,62473.78,62517.42,15673.6,987509499.19,63197.03,direct,,61962.974285714285
2024-10-13,63276.36,62036.49,63197.03,16786.01,1051974824.5,62854.48,direct,,61967.648571428566
2024-10-14,66494.04,62438.82,62854.48,50393.51,3279898050.67,66068.25,direct,,62518.84999999999
2024-10-15,67938.85,64791.36,66068.25,51909.81,3442311150.59,67064.69,direct,,63223.92428571428
2024-10-16,68401.67,66752.45,67064.69,42024.2,2841013476.69,67614.71,direct,,64228.137142857144
2024-10-17,67931.28,66643.91,67614.71,32062.99,2154293295.5,67408.87,direct,,65246.49285714286
2024-10-18,69016.74,67167.07,67408.87,36869.58,2516405877.34,68425.63,direct,,66090.52285714286
2024-10-19,68681.33,68009.42,68425.63,7712.36,526753638.72,68370.04,direct,,66829.52428571429
2024-10-20,69385.31,68094.66,68370.04,11999.25,824334290.12,69020.94,direct,,67710.44714285714
2024-10-21,69501.44,66811.42,69020.94,36536.85,2480399716.7,67358.14,direct,,67894.71714285715
2024-10-22,67800.62,66540.7,67358.14,32484.74,2184452853.61,67390.32,direct,,67941.23571428572
2024-10-23,67436.29,65171.54,67390.32,32488.79,2154644447.87,66612.97,direct,,67798.13
2024-10-24,68812.4,66456.7,66612.97,31715.51,2144280257.66,68163.56,direct,,67905.94285714286
2024-10-25,68745.57,65510.53,68163.56,43824.41,2952724943.71,66577.77,direct,,67641.96285714286
2024-10-26,67366.46,66343.25,66577.77,14159.11,946447393.67,67014.72,direct,,67448.34571428572
2024-10-27,68254.55,66852.5,67014.72,12105.31,818581011.16,67945.14,direct,,67294.66
2024-10-28,70241.74,67541.0,67945.14,42091.94,2902994091.1,69925.83,direct,,67661.47285714286
2024-10-29,73612.24,69725.05,69925.83,58289.36,4194343293.57,72723.67,direct,,68423.38
2024-10-30,72945.06,71408.4,72723.67,38392.15,2769522546.26,72331.96,direct,,69240.37857142858
2024-10-31,72675.24,69585.02,72331.96,39358.14,2794856636.84,70207.54,direct,,69532.37571428572
2024-11-01,71616.01,68755.75,70207.54,49030.12,3429441961.46,69473.41,direct,,69946.03857142858
2024-11-02,69884.38,69006.88,69473.41,10811.2,750733288.76,69354.01,direct,,70280.22285714286
2024-11-03,69364.8,67457.91,69354.01,29674.18,2028670648.54,68747.04,direct,,70394.78
2024-11-04,69453.56,66793.64,68747.04,43141.35,2939056973.62,67811.95,direct,,70092.79714285715
2024-11-05,70540.03,67432.99,67811.95,47211.37,3274519976.93,69378.09,direct,,69614.85714285714
2024-11-06,76482.2,69295.92,69378.09,116207.84,8601347745.99,75643.57,direct,,70087.94428571429
2024-11-07,76963.92,74472.09,75643.57,58490.52,4433063855.56,75922.41,direct,,70904.35428571429
2024-11-08,77289.29,75656.7,75922.41,48629.32,3714364388.44,76562.31,direct,,71917.05428571429
2024-11-09,76949.29,75763.57,76562.31,15808.47,1208160963.89,76716.41,direct,,72968.8257142857
2024-11-10,81520.53,76545.66,76716.41,57715.18,4582398468.87,80429.43,direct,,74637.73857142856
2024-11-11,89644.7,80283.65,80429.43,104407.32,8845679630.06,88758.31,direct,,77630.07571428572
2024-11-12,90006.57,85125.04,88758.31,117605.91,10326697667.45,88040.54,direct,,80296.14
2024-11-13,93479.86,86252.86,88040.54,124766.84,11250681620.25,90498.51,direct,,82418.27428571429
2024-11-14,91817.29,86679.1,90498.51,81846.21,7309565757.27,87334.19,direct,,84048.52857142857
2024-11-15,91897.76,87118.43,87334.19,71049.87,6353615968.72,91058.92,direct,,86119.47285714284
2024-11-16,91810.87,90092.82,91058.92,27488.76,2501576427.85,90630.94,direct,,88107.26285714285
2024-11-17,91436.45,88728.28,90630.94,30966.65,2791320512.2,89877.16,direct,,89456.93857142857
2024-11-18,92649.98,87547.97,89877.16,66007.84,6006522738.03,90514.83,direct,,89707.87
2024-11-19,94056.9,90414.27,90514.83,64909.54,5995386487.48,92418.48,direct,,90333.29000000001
2024-11-20,95056.1,91612.46,92418.48,70180.2,6579886464.89,94379.92,direct,,90887.77714285716
2024-11-21,99056.4,94152.97,94379.92,89243.49,8678686263.5,98436.25,direct,,92473.78571428571
2024-11-22,99772.99,97207.77,98436.25,74286.51,7337283037.5,99010.89,direct,,93609.78142857143
2024-11-23,99023.88,97219.23,99010.89,29017.14,2853544178.0,97765.04,direct,,94628.93857142856
2024-11-24,98670.34,95781.2,97765.04,30269.68,2940396079.61,98018.2,direct,,95791.94428571427
2024-11-25,98974.51,92592.66,98018.2,68259.16,6533804395.53,93019.38,direct,,96149.73714285714
2024-11-26,95007.52,90730.54,93019.38,77087.79,7150066318.55,91903.89,direct,,96076.22428571428
2024-11-27,97373.56,91757.22,91903.89,47765.92,4533983270.73,95957.51,direct,,96301.59428571428
2024-11-28,96672.28,94677.17,95957.51,24214.5,2311939499.68,95670.41,direct,,95906.47428571428
2024-11-29,98735.69,95391.39,95670.41,39884.8,3883366949.57,97510.92,direct,,95692.19285714286
2024-11-30,97514.26,96137.13,97510.92,12565.01,1215861238.63,96473.51,direct,,95507.68857142857
2024-12-01,97592.38,95752.22,96473.51,13803.09,1336142467.67,97135.91,direct,,95381.64714285715
